,Tweetcount,Sentiment,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
0,78,0.0627612086987087,1629742080000,2021-08-23 18:08:00,BTCUSD,49458.32,49476.79,49454.92,49476.79,0.64809668
1,194,0.0658031809256036,1629742140000,2021-08-23 18:09:00,BTCUSD,49476.79,49499.21,49432.71,49465.53,1.77499557
2,194,0.07831973081328752,1629742200000,2021-08-23 18:10:00,BTCUSD,49465.53,49480.58,49458.25,49462.22,0.06682103
3,152,0.08546307767524872,1629742260000,2021-08-23 18:11:00,BTCUSD,49462.22,49462.22,49428.58,49431.21,0.3098028537
4,190,0.07369924495582389,1629742320000,2021-08-23 18:12:00,BTCUSD,49431.21,49447.46,49409.02,49447.37,0.3216326306
5,171,0.07798831569664902,1629742380000,2021-08-23 18:13:00,BTCUSD,49447.37,49447.37,49400.0,49400.0,1.63988923
6,205,0.06192519709288003,1629742440000,2021-08-23 18:14:00,BTCUSD,49400.0,49447.46,49400.0,49447.46,0.09718982
7,193,0.04441196289318053,1629742500000,2021-08-23 18:15:00,BTCUSD,49447.46,49447.46,49400.0,49420.5,1.8617646301
8,197,0.0735158098387794,1629742560000,2021-08-23 18:16:00,BTCUSD,49420.5,49442.08,49408.45,49442.08,0.1645552642
9,168,0.09568377654091942,1629742620000,2021-08-23 18:17:00,BTCUSD,49442.08,49482.34,49442.08,49474.92,0.15141094
10,171,0.05624228922474537,1629742680000,2021-08-23 18:18:00,BTCUSD,49474.92,49478.36,49457.27,49464.62,0.01182232
11,154,0.06593473887223886,1629742740000,2021-08-23 18:19:00,BTCUSD,49464.62,49506.88,49464.62,49476.3,0.06666354
12,186,0.08324430218079412,1629742800000,2021-08-23 18:20:00,BTCUSD,49476.3,49476.47,49455.07,49455.07,0.00246543
13,180,0.08153252765752765,1629742860000,2021-08-23 18:21:00,BTCUSD,49455.07,49455.07,49439.99,49440.0,1.0753233613
14,206,0.06674945756104735,1629742920000,2021-08-23 18:22:00,BTCUSD,49440.0,49504.0,49440.0,49487.42,2.0650889515
15,173,0.1149633445659457,1629742980000,2021-08-23 18:23:00,BTCUSD,49487.42,49508.18,49487.3,49505.02,0.38908874
16,179,0.12265554588180287,1629743040000,2021-08-23 18:24:00,BTCUSD,49505.02,49546.11,49505.02,49546.11,2.31647999
17,193,0.049042759198199615,1629743100000,2021-08-23 18:25:00,BTCUSD,49546.11,49551.8,49530.9,49533.09,0.03360994
18,165,0.08448604552013643,1629743160000,2021-08-23 18:26:00,BTCUSD,49533.09,49553.9,49528.42,49534.04,1.4366552623
19,180,0.09211724386724388,1629743220000,2021-08-23 18:27:00,BTCUSD,49534.04,49569.71,49532.59,49569.71,0.01305069
20,168,0.09214511720092079,1629743280000,2021-08-23 18:28:00,BTCUSD,49569.71,49608.21,49568.88,49608.21,0.28846124
21,173,0.06230777010401288,1629743340000,2021-08-23 18:29:00,BTCUSD,49608.21,49608.21,49587.81,49587.81,0.02090223
22,213,0.029837793596596413,1629743400000,2021-08-23 18:30:00,BTCUSD,49587.81,49600.84,49587.81,49597.81,0.1131417395
23,188,0.08162567928525376,1629743460000,2021-08-23 18:31:00,BTCUSD,49597.81,49597.81,49575.52,49575.52,0.0610462883
24,185,0.08143664443664443,1629743520000,2021-08-23 18:32:00,BTCUSD,49575.52,49589.12,49556.6,49571.77,1.11362734
25,202,0.0652356351706599,1629743580000,2021-08-23 18:33:00,BTCUSD,49571.77,49571.77,49543.88,49543.88,0.01819649
26,188,0.12242959611310676,1629743640000,2021-08-23 18:34:00,BTCUSD,49543.88,49592.87,49539.48,49592.87,0.1033080077
27,211,0.07507251766138019,1629743700000,2021-08-23 18:35:00,BTCUSD,49592.87,49608.22,49583.44,49606.54,0.202977027
28,196,0.08484339569160995,1629743760000,2021-08-23 18:36:00,BTCUSD,49606.54,49606.54,49576.96,49585.17,0.01489947
29,193,0.09296144270237527,1629743820000,2021-08-23 18:37:00,BTCUSD,49585.17,49585.17,49559.25,49559.25,0.2664722333
30,163,0.07510180685027311,1629743880000,2021-08-23 18:38:00,BTCUSD,49559.25,49560.04,49538.62,49560.04,0.02404647
31,198,0.07932823910096637,1629743940000,2021-08-23 18:39:00,BTCUSD,49560.04,49567.97,49543.73,49543.73,0.05861955
32,197,0.07492872891350048,1629744000000,2021-08-23 18:40:00,BTCUSD,49543.73,49578.73,49538.7,49576.58,0.1177032847
33,177,0.05264433683077752,1629744060000,2021-08-23 18:41:00,BTCUSD,49576.58,49592.34,49560.54,49592.34,0.0829077396
34,167,0.07676026734409969,1629744120000,2021-08-23 18:42:00,BTCUSD,49592.34,49592.34,49552.59,49569.25,4.07504829
35,167,0.08814402985155231,1629744180000,2021-08-23 18:43:00,BTCUSD,49569.25,49569.25,49556.13,49563.33,1.3063307
36,164,0.08018090090803506,1629744240000,2021-08-23 18:44:00,BTCUSD,49563.33,49563.34,49552.59,49553.09,1.89158504
37,184,0.10941769206035509,1629744300000,2021-08-23 18:45:00,BTCUSD,49553.09,49638.77,49553.09,49619.87,0.94377656
38,167,0.10534068227181999,1629744360000,2021-08-23 18:46:00,BTCUSD,49619.87,49636.18,49572.84,49572.84,1.08134951
39,179,0.09393440591066289,1629744420000,2021-08-23 18:47:00,BTCUSD,49572.84,49572.84,49564.46,49569.68,0.02971614
40,177,0.07165425440849171,1629744480000,2021-08-23 18:48:00,BTCUSD,49569.68,49569.68,49551.0,49551.0,0.0452123877
41,155,0.09333020993343571,1629744540000,2021-08-23 18:49:00,BTCUSD,49551.0,49558.0,49517.33,49534.99,1.90407573
42,160,0.08383709161931817,1629744600000,2021-08-23 18:50:00,BTCUSD,49534.99,49548.03,49514.54,49514.9,0.338581885
43,182,0.09344442594442592,1629744660000,2021-08-23 18:51:00,BTCUSD,49514.9,49514.9,49460.01,49463.96,1.4681990345
44,182,0.07092244065458353,1629744720000,2021-08-23 18:52:00,BTCUSD,49463.96,49471.99,49435.59,49454.83,2.23589143
45,196,0.07166628290926762,1629744780000,2021-08-23 18:53:00,BTCUSD,49454.83,49461.37,49429.34,49461.37,0.172439873
46,200,0.09159409271284272,1629744840000,2021-08-23 18:54:00,BTCUSD,49461.37,49464.61,49450.3,49451.63,1.59632111
47,168,0.05905813377539567,1629744900000,2021-08-23 18:55:00,BTCUSD,49451.63,49503.57,49442.0,49498.9,0.82719364
48,153,0.08069752143281553,1629744960000,2021-08-23 18:56:00,BTCUSD,49498.9,49502.48,49478.0,49489.45,0.49362287
49,194,0.07547881800330254,1629745020000,2021-08-23 18:57:00,BTCUSD,49489.45,49497.8,49484.0,49496.22,4.29063895
50,165,0.09126081595172503,1629745080000,2021-08-23 18:58:00,BTCUSD,49496.22,49496.22,49472.91,49477.55,0.3326973
51,194,0.07467595691822493,1629745140000,2021-08-23 18:59:00,BTCUSD,49477.55,49477.55,49460.0,49469.8,0.12255779
52,265,0.05765480138310328,1629745200000,2021-08-23 19:00:00,BTCUSD,49469.8,49473.69,49412.36,49412.9,0.5134118715
53,188,0.050346194019731255,1629745260000,2021-08-23 19:01:00,BTCUSD,49412.9,49416.8,49382.32,49382.32,0.06519343
54,178,0.07523476133728943,1629745320000,2021-08-23 19:02:00,BTCUSD,49382.32,49416.99,49382.32,49416.99,1.21784917
55,34,0.03911541889483066,1629745380000,2021-08-23 19:03:00,BTCUSD,49416.99,49443.33,49255.94,49299.63,3.5368896601
