,date,code,tweet
0,2021-08-23 08:34:31,1429723714912866311,@lexfridman Summarized well
1,2021-08-23 06:50:50,1429697624207106053,@teslaownersSV I never said this!
2,2021-08-23 06:19:01,1429689615707824128,@lexfridman @karpathy My son asked if we would still speak English 7000 years from now. I said probably not. There… https://t.co/3PgPkqIHuR
3,2021-08-21 05:31:39,1428952920838475777,@YourFellowArab Deep cut haha
4,2021-08-21 05:27:08,1428951783615864835,@RationalEtienne Hopefully
5,2021-08-21 05:25:18,1428951320241737732,@WholeMarsBlog @FutureJurvetson @Tesla @karpathy Bot is not directly on the path of accelerating a sustainable ener… https://t.co/8GQWRkwpuW
6,2021-08-21 05:10:27,1428947585662799876,@FutureJurvetson @Tesla @karpathy Pretty wild
7,2021-08-21 04:44:39,1428941091768655881,@TheFavoritist @NASASpaceflight @BocaChicaGal @huslage True
8,2021-08-21 04:26:08,1428936432907821058,Do they even know about the delta variant!?
9,2021-08-20 20:05:36,1428810469943365639,"@panamach2 @Mansoor14769892 ممتاز
 https://t.co/RkIB53zX6f"
10,2021-08-20 20:01:49,1428809514946416642,https://t.co/EOBHkQvFPR
11,2021-08-20 06:38:02,1428607237275066370,@dmitriyTM3 @draecomino Yes
12,2021-08-20 06:14:58,1428601432949673989,@Model3Owners It’s a quintillion (10^18) floating point operations per second – enough to simulate a human brain
13,2021-08-20 03:18:02,1428556907745214473,RT @Tesla: Join us to build the future of AI → https://t.co/Gdd4MNet6q https://t.co/86cXMVnJ59
14,2021-08-20 03:17:42,1428556821061541893,https://t.co/AIUidLiHkK
15,2021-08-20 03:15:53,1428556366344425473,"@teslaownersSV @westcoastbill We have almost all the pieces needed for humanoid robots, since we already make robots with wheels"
16,2021-08-20 00:57:15,1428521477624631297,On now https://t.co/mhHOGt7fdI
17,2021-08-19 04:22:21,1428210703731597316,@vincent13031925 Will make a big difference
18,2021-08-18 20:28:30,1428091455789166594,"@Erdayastronaut @Caspar_Stanley No, bottom static aero pushes engine section back, counteracting Starship’s low cen… https://t.co/9BCTcNScrG"
19,2021-08-18 17:55:24,1428052929504628741,@zone_astronomy Low center of mass. Bit like our ship &amp; booster on reentry.
20,2021-08-18 17:46:00,1428050563787198474,@GerberKawasaki Same
21,2021-08-18 17:41:44,1428049488845803522,@adamhoov 🤣🤣
22,2021-08-18 17:22:12,1428044572198797326,@engineers_feed 🤣
23,2021-08-18 16:38:05,1428033470467506182,"@Erdayastronaut @Caspar_Stanley Probably slightly further forward, smaller, more inward. No funny looking static ae… https://t.co/zdlGwglTUJ"
24,2021-08-18 10:22:46,1427939016645627904,"@Erdayastronaut Btw, there’s a slight error with forward flap design. Moving section is needed for control, but pas… https://t.co/0bigB3Valb"
25,2021-08-18 09:49:57,1427930761026412550,@AmyAcker @lisajoynolan @Reminiscence Product ideas!
26,2021-08-18 09:43:21,1427929099645833216,@CodingMark @Tesla True
27,2021-08-18 03:16:12,1427831670778990594,@Delta_IV_Heavy You can make anything fly haha
28,2021-08-18 03:14:29,1427831237922594817,@Kristennetten @MartinViecha Yes
29,2021-08-17 14:19:59,1427636326539608077,@MKBHD Impressive
30,2021-08-16 01:54:52,1427086427674877952,@cleantechnica Robyn is great
31,2021-08-15 16:05:10,1426938024018038786,@OstynHyss @nickwhoward Beta 10 or maybe 10.1. Going to pure vision set us back initially. Vision plus (coarse) rad… https://t.co/COBYC5oAKD
32,2021-08-15 15:51:56,1426934693195304965,"@shawncarelli @nickwhoward 9.3, probably 9.4 &amp; then maybe 10. Significant architecture changes in 10."
33,2021-08-15 15:49:22,1426934048136499209,@nickwhoward Improvements in 9.2: https://t.co/STmEBq8V9C
34,2021-08-15 08:34:19,1426824562600300544,@nickwhoward Some unexpected last minute issues. Should go out in next day or two.
35,2021-08-15 01:21:59,1426715761393946628,@TylerG1998 @Teslarati @RDAnglePhoto Real time
36,2021-08-15 01:19:53,1426715232475533319,"@Teslarati @RDAnglePhoto First orbital stack of Starship should be ready for flight in a few weeks, pending only regulatory approval"
37,2021-08-15 01:13:41,1426713672706052101,@artemis360_moon @SpaceX Probably sooner
38,2021-08-14 18:23:32,1426610457465528320,@AustinTeslaClub @AustinDeSisto We will make it happen!
39,2021-08-14 18:21:05,1426609839422193666,@ajtourville Shower thoughts work best for me
40,2021-08-14 16:43:02,1426585162498838536,@Tesmanian_com “Don’t look here!”
41,2021-08-14 15:24:10,1426565314863636487,@AustinDeSisto We’re working on enabling public access to our restaurant!
42,2021-08-14 15:13:53,1426562729859592193,@slashdot Solar/wind + batteries + electric cars is obviously the future
43,2021-08-14 15:02:57,1426559976990982153,@CNBC @CNBCMakeIt I’ve been saying this for a while
44,2021-08-14 14:58:49,1426558939336937481,Mad respect for the makers
45,2021-08-14 14:52:21,1426557310470696971,@IGN Demolition Man is coming true https://t.co/GdHbU5J9Jh
46,2021-08-14 14:24:02,1426550184025153536,@MarcusHouse Starship will enable humanity to become a multiplanet species
47,2021-08-14 14:21:26,1426549529323655175,@fahrIehrer @gef_Clan @technikjuli 🤣🤣 https://t.co/mSBNTkFhhP
48,2021-08-14 14:06:55,1426545875233411073,@TeslaOwnersEBay @AustinTeslaClub @JaneidyEve @Manic_Marge @brookec_4 @Kristennetten @OwenSparks_ @Inelonwetrust__… https://t.co/hnGJ8FFDjO
49,2021-08-14 14:03:01,1426544895469232129,@BLKMDL3 @TeslaCharging Major Supercharger openings in west LA coming soon!
50,2021-08-14 07:18:03,1426442982899822593,@SPEXcast @TrungTPhan Starship will be crushingly cost-effective for Earth orbit or moon missions as soon as it’s o… https://t.co/M7LPfujFfJ
51,2021-08-14 07:10:31,1426441084125732868,"@SamoNaro @TrungTPhan All models do make use of aluminum casting, but new Y will be most advanced with 2/3 of body cast."
52,2021-08-14 07:04:13,1426439498875932674,"@rahul555gandhi @SciGuySpace Sorry, it’s been pretty intense lately"
53,2021-08-14 07:03:16,1426439262111768577,@CommiNathan @SciGuySpace Same
54,2021-08-14 06:59:57,1426438428367933441,@SciGuySpace I have great respect for Kathy Lueders
55,2021-08-14 06:48:59,1426435666116743169,"@TrungTPhan Actual volume manufacturing, where cash in &gt; cash out, is so damn hard most people have no idea"
56,2021-08-13 23:36:45,1426326891485609985,"@thesheetztweetz The sad thing is that even if Santa Claus suddenly made their hardware real for free, the first th… https://t.co/nOuIh5i9or"
57,2021-08-13 22:54:34,1426316277740675076,@WElRDPHYSICS Super agree!
58,2021-08-13 22:53:51,1426316095133294594,@OwenSparks_ @spacex360 Seriously
59,2021-08-13 22:51:34,1426315521360896001,"@ID_AA_Carmack In the end, it’s all about entropy"
